Time:	Direct:	Amplified:
37370	24.542633	24.582123
37471	24.542633	24.582123
37586	24.542633	24.573334
37686	24.542633	24.582123
37787	24.542633	24.573334
37902	24.542633	24.573334
38003	24.542633	24.573334
38103	24.542633	24.573334
38203	24.542633	24.573334
38320	24.542633	24.573334
38420	24.542633	24.573334
38520	24.542633	24.573334
38620	24.542633	24.573334
38720	24.542633	24.564575
38820	24.542633	24.573334
38921	24.542633	24.564575
39037	24.542633	24.564575
39154	24.542633	24.564575
39254	24.542633	24.564575
39369	24.542633	24.564575
39469	24.542633	24.564575
39570	24.542633	24.564575
39671	24.542633	24.564575
39787	24.542633	24.564575
39903	24.542633	24.555817
40004	24.542633	24.555817
40119	24.542633	24.555817
40220	24.542633	24.555817
40320	24.542633	24.555817
40421	24.542633	24.555817
40537	24.542633	24.555817
40654	24.542633	24.555817
40754	24.542633	24.555817
40870	24.542633	24.547028
40986	24.542633	24.555817
41087	24.542633	24.547028
41188	24.542633	24.547028
41303	24.542633	24.547028
41403	24.542633	24.547028
41504	24.542633	24.547028
41620	24.542633	24.547028
41721	24.542633	24.547028
41836	24.542633	24.547028
41936	24.542633	24.547028
42037	24.542633	24.547028
42153	24.542633	24.547028
42254	24.542633	24.547028
42355	24.542633	24.547028
42456	24.542633	24.547028
42573	24.542633	24.538269
42689	24.542633	24.547028
42789	24.542633	24.538269
42894	24.454956	24.538269
42994	24.542633	24.538269
43097	24.542633	24.538269
43198	24.542633	24.538269
43300	24.454956	24.52948
43416	24.454956	24.52948
43517	24.454956	24.52948
43617	24.454956	24.52948
43717	24.542633	24.52948
43828	24.542633	24.520721
43929	24.542633	24.52948
44029	24.454956	24.52948
44144	24.542633	24.52948
44244	24.454956	24.520721
44345	24.542633	24.520721
44461	24.454956	24.520721
44578	24.454956	24.520721
44678	24.454956	24.520721
44794	24.542633	24.520721
44894	24.454956	24.520721
44995	24.454956	24.520721
45095	24.454956	24.520721
45210	24.454956	24.511932
45311	24.454956	24.520721
45411	24.454956	24.520721
45511	24.454956	24.511932
45611	24.454956	24.511932
45711	24.454956	24.511932
45811	24.454956	24.511932
45911	24.454956	24.520721
46028	24.454956	24.511932
46128	24.454956	24.511932
46228	24.454956	24.511932
46328	24.454956	24.520721
46444	24.454956	24.511932
46544	24.454956	24.511932
46661	24.454956	24.520721
46761	24.454956	24.52948
46861	24.454956	24.52948
46962	24.542633	24.52948
47078	24.542633	24.520721
47178	24.630402	24.59967
47295	24.542633	24.573334
47395	24.542633	24.590912
47496	24.542633	24.60846
47612	24.542633	24.634796
47712	24.7182	24.696259
47812	24.7182	24.705017
47913	24.7182	24.731384
48030	24.7182	24.731384
48130	24.7182	24.731384
48245	24.7182	24.722595
48345	24.7182	24.713806
48446	24.7182	24.713806
48546	24.7182	24.713806
48646	24.630402	24.713806
48763	24.7182	24.713806
48863	24.7182	24.713806
48963	24.630402	24.713806
49080	24.630402	24.713806
49180	24.7182	24.713806
49280	24.7182	24.731384
49487	24.7182	24.75772
49602	24.7182	24.792877
